"Paper","Property_reg","Geopol_c_a","C_study_geo","Year","seed","farmer","variety","plant","right","food","crop","system","genetic","resource","country","patent","breeding","community","protection","breeder","local","production","agricultural","law","development","state","company","public","property","research","common","agriculture","market","access","government","international","technology","national","knowledge","gene","material","product","traditional","sector","policy","process","benefit","intellectual","sovereignty","practice","legal","maize","private","diversity","people","world","land","cultivar","developing","upov","security","agreement","wheat","global","cluster"
"1_limpio.txt","Private/State","Western Europe","Global",1975,1,24,1,0,5,131,5,20,0,14,113,0,0,1,2,0,1,41,34,0,31,7,4,1,0,8,1,21,11,2,10,19,2,6,2,0,1,12,2,5,18,2,0,0,2,2,0,0,0,0,16,74,27,0,69,0,11,4,3,4,"3"
"2_limpio.txt","Private/State","Western Europe","Global",1993,10,5,15,29,2,18,13,3,4,2,10,6,5,0,9,5,2,4,3,0,10,5,9,18,5,6,0,1,2,0,3,3,17,0,3,56,0,25,0,1,0,3,8,2,0,2,0,0,8,0,2,4,3,1,7,0,0,0,0,0,"4"
"3_limpio.txt","State","Western Europe","Global",1998,48,60,32,37,34,28,25,15,28,21,3,59,8,13,5,19,3,7,22,5,5,9,13,11,29,15,1,13,7,13,17,20,38,8,14,14,6,10,16,14,0,6,2,30,1,4,6,1,8,22,15,24,7,1,5,0,14,8,1,6,"3"
"4_limpio.txt","Private","Western Europe","Global",1999,0,0,1,75,0,19,47,0,40,0,0,0,29,1,0,3,0,5,1,0,6,1,0,0,1,2,4,0,1,0,0,0,3,0,2,94,0,21,22,0,0,1,1,0,0,0,0,1,1,0,0,1,0,15,0,0,0,0,5,0,"4"
"5_limpio.txt","Common","Asia-Pacific","Global",2000,19,26,6,12,20,5,8,4,9,15,5,0,3,39,2,0,15,0,3,0,6,0,0,0,4,2,0,3,1,1,2,3,0,7,2,5,13,1,5,0,0,0,6,1,0,5,3,0,0,3,1,2,0,2,1,0,4,0,0,3,"3"
"6_limpio.txt","Common","Western Europe","Global",2001,52,24,18,27,24,39,114,9,11,4,6,138,6,1,11,0,1,7,1,3,16,9,39,3,16,14,2,1,50,2,0,2,11,0,3,69,1,45,17,2,14,19,11,8,0,22,1,3,2,0,0,1,1,0,6,0,0,8,0,1,"4"
"7_limpio.txt","Private/State","Western Europe","Global",2003,12,9,17,46,43,18,64,5,1,1,117,59,11,0,17,23,4,34,18,7,16,22,9,8,14,27,0,9,7,2,1,10,45,5,2,6,6,15,1,2,8,15,2,12,0,0,8,15,4,1,0,44,1,5,54,0,1,8,19,2,"4"
"8_limpio.txt","Common","Western Europe","Africa",2003,0,72,1,113,0,5,5,8,9,0,0,0,3,8,3,0,8,0,3,0,1,0,0,1,0,2,17,1,0,0,0,2,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,138,0,0,1,10,0,0,"3"
"9_limpio.txt","Common","Western Europe","Global",2004,45,33,47,60,39,20,31,7,28,15,45,30,8,6,25,8,7,6,7,6,11,11,7,8,24,10,1,10,14,0,4,10,4,2,4,7,11,8,5,8,1,12,4,24,0,5,3,6,5,3,3,22,1,0,33,31,6,42,6,7,"3"
"10_limpio.txt","Open_access","Western Europe","Africa",2006,4,7,6,25,12,24,10,19,53,58,19,1,4,16,3,5,5,1,13,20,14,5,0,2,1,14,3,17,1,45,4,24,8,9,2,3,8,2,1,2,8,1,17,1,2,3,6,0,2,1,2,0,0,0,2,0,6,10,0,3,"3"
"11_limpio.txt","Common","Asia-Pacific","Global",2008,4,10,12,16,17,25,7,5,2,2,30,12,2,1,16,4,0,0,7,7,0,3,0,2,8,0,0,6,2,3,0,10,4,5,6,3,0,1,13,3,7,1,3,9,0,4,6,1,3,0,0,2,0,0,23,0,12,9,1,0,"3"
"12_limpio.txt","Common","Western Europe","Global",2010,73,83,24,59,17,8,19,17,34,25,1,6,22,25,8,18,1,27,10,9,23,8,14,34,9,8,37,8,8,16,5,6,7,6,5,12,23,5,0,14,2,8,6,5,17,10,8,1,8,3,19,5,2,7,4,0,0,4,3,20,"1"
"13_limpio.txt","Private/State","Western Europe","Global",2010,116,46,1,27,5,18,31,9,22,7,15,5,55,5,4,16,13,42,2,1,18,4,50,18,3,20,2,1,26,1,6,14,16,6,0,8,1,6,9,21,0,3,8,3,0,4,1,0,16,13,2,13,5,70,8,0,6,0,0,5,"1"
