codigo,Art22,Art66,Art74,Art85,Art90,Art6,Art2,Art79,Art60,Art27,Art48,Art14,Art72,Art33,Art44,Art23,Art26,Art96,Art18,Art97,C1,C2,C3,C4
P_colectiva,3,,5,0,0,0,0,0,1,3,0,0,1,3,0,1,0,0,0,2,14,0,5,0
P_codigo_abierto,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
P_estatal,0,0,0,0,2,0,0,0,1,1,2,1,0,0,1,4,0,0,0,0,1,2,9,0
P_estatal/común,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0
P_estatal/privada,0,1,0,5,0,0,0,3,2,0,3,3,0,0,1,2,2,1,2,0,0,14,7,4
P_privada,0,1,0,0,0,3,2,0,4,0,0,4,0,0,5,0,0,0,3,0,0,12,4,6
Beneficios economico a productores,0,1,5,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,5,1,6,10,0,1
Conserv cultural y biocultural,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0
Crítica a la P.colectiva,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Crítica a la P.estatal,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0
Crítica Propiedad Privada,1,0,0,1,1,0,0,0,3,1,2,2,6,4,0,10,0,0,0,6,17,3,17,0
Derechos de los agricultores,7,0,12,2,5,4,0,0,7,5,14,2,5,13,0,4,0,0,0,8,43,4,37,4
Efectos negativos biotecno,0,0,2,0,0,0,1,0,7,2,1,1,4,1,0,4,0,0,0,3,12,1,12,1
Efectos negativos DPIs,0,3,2,3,2,3,1,0,17,3,9,10,3,11,5,11,2,1,0,6,25,18,39,10
Limitaciones productores,0,0,2,0,0,0,0,1,2,0,0,1,1,3,0,1,1,0,0,1,7,2,3,1
Postura a favor DPI,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,7,0,0,7,4,2
Postura a favor DPI con exc,0,2,0,0,2,10,0,0,17,0,15,0,0,0,0,3,0,1,0,2,2,0,37,13
Postura a favor OGMs,0,1,0,1,0,4,5,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,3,10
Postura crítica de los OGMs,0,1,0,1,0,9,1,0,5,0,0,0,0,6,0,0,0,0,0,1,7,1,5,11
Redes de colaboración,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,6,0,1,1
Sistema convencional semillas,0,0,3,0,0,1,1,3,2,0,0,4,0,2,10,2,3,1,8,1,6,25,4,6
Sistema tradicional semillas,0,0,15,0,1,2,0,0,5,10,3,0,4,4,0,4,0,0,0,14,47,0,13,2
Sustentabilidad,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0
